stn,time,th6190yv,lr
GVE,1950,0.8,
GVE,1951,0.0,
GVE,1952,0.3,
GVE,1953,0.1,
GVE,1954,-0.2,
GVE,1955,0.1,
GVE,1956,-1.1,
GVE,1957,-0.2,
GVE,1958,0.0,
GVE,1959,0.6,
GVE,1960,0.1,
GVE,1961,0.9,
GVE,1962,-0.6,
GVE,1963,-1.1,
GVE,1964,0.2,
GVE,1965,-0.8,
GVE,1966,0.4,
GVE,1967,0.1,
GVE,1968,-0.3,
GVE,1969,-0.5,
GVE,1970,-0.3,
GVE,1971,-0.3,
GVE,1972,-0.4,
GVE,1973,-0.5,
GVE,1974,0.2,
GVE,1975,0.1,
GVE,1976,0.2,
GVE,1977,0.2,
GVE,1978,-0.6,
GVE,1979,0.1,
GVE,1980,-0.8,0.41901148
GVE,1981,-0.1,0.45191596
GVE,1982,0.8,0.48482044
GVE,1983,0.6,0.51772492
GVE,1984,-0.1,0.5506294
GVE,1985,-0.5,0.58353388
GVE,1986,0.2,0.61643836
GVE,1987,0.2,0.64934284
GVE,1988,0.9,0.68224732
GVE,1989,1.1,0.7151518
GVE,1990,1.1,0.74805628
GVE,1991,0.5,0.78096076
GVE,1992,1.0,0.81386524
GVE,1993,0.5,0.84676971
GVE,1994,2.0,0.87967419
GVE,1995,1.0,0.91257867
GVE,1996,0.2,0.94548315
GVE,1997,1.1,0.97838763
GVE,1998,1.0,1.01129211
GVE,1999,0.9,1.04419659
GVE,2000,1.5,1.07710107
GVE,2001,1.2,1.11000555
GVE,2002,1.6,1.14291003
GVE,2003,1.7,1.17581451
GVE,2004,1.1,1.20871899
GVE,2005,0.7,1.24162347
GVE,2006,1.5,1.27452795
GVE,2007,1.4,1.30743243
GVE,2008,0.9,1.34033691
GVE,2009,1.5,1.37324139
GVE,2010,0.4,1.40614587
GVE,2011,1.8,1.43905035
GVE,2012,1.3,1.47195483
GVE,2013,0.6,1.50485931
GVE,2014,2.1,1.53776379
GVE,2015,1.9,1.57066827
GVE,2016,1.4,1.60357275
GVE,2017,1.7,1.63647723
GVE,2018,2.6,1.66938171
GVE,2019,2.1,1.70228619
GVE,2020,2.5,1.73519067
GVE,2021,1.2,1.76809515
GVE,2022,3.2,1.80099963