year,volume_km3
1981,61.10
1982,60.86
1983,60.31
1984,60.19
1985,59.53
1986,58.87
1987,58.28
1988,57.93
1989,57.29
1990,55.89
1991,54.67
1992,54.17
1993,53.85
1994,53.52
1995,53.42
1996,53.20
1997,52.73
1998,51.46
1999,51.25
2000,50.84
2001,51.00
2002,50.69
2003,49.12
2004,48.58
2005,47.85
2006,46.99
2007,46.66
2008,45.91
2009,45.18
2010,44.64
2011,43.48
2012,42.74
2013,42.57
2014,42.31
2015,41.30
2016,40.92
2017,39.78
2018,38.82
2019,38.09
2020,37.40
2021,37.14